'# DEGREE SEQUENCE, conf->n_vertex : 100, N_RAN: 1, TIMER: 10000,T_TRANS: 0, conf->degree1: 10, conf->degree2: 50, DEATH_PROB: 0.012500, DEATH_PHASE: 2, K: 2'
# N_palline(X)	AVG frequency_degree1(Y1)	probability_degree1(Y2)
0	11.000000	0.220000
1	17.000000	0.340000
2	17.000000	0.340000
3	4.000000	0.080000
4	1.000000	0.020000
