'# DEGREE SEQUENCE, conf->n_vertex : 100, N_RAN: 1, TIMER: 100000,T_TRANS: 50000, conf->degree1: 10, conf->degree2: 50, DEATH_PROB: 0.015000, DEATH_PHASE: 1, K: 0'
# N_palline(X)	AVG frequency_degree1(Y1)	probability_degree1(Y2)
0	46.000000	0.920000
1	3.000000	0.060000
2	1.000000	0.020000
